Player,Team,Number,Age,Position,Nationality,ValueEUR
Farizal Marlias,Johor Darul Ta'zim,1,35,Goalkeeper,Malaysia,200000
Haziq Nadzli,Johor Darul Ta'zim,26,23,Goalkeeper,Malaysia,75000
Syihan Hazmi,Johor Darul Ta'zim,33,25,Goalkeeper,Malaysia,25000
Jordi Amat,Johor Darul Ta'zim,5,29,Defenders,Indonesia,1400000
Shane Lowry,Johor Darul Ta'zim,14,32,Defenders,Australia,300000
Shahrul Saad,Johor Darul Ta'zim,32,28,Defenders,Malaysia,250000
Adam Nor Azlin,Johor Darul Ta'zim,-,25,Defenders,Malaysia,200000
Aidil Zafuan,Johor Darul Ta'zim,-,34,Defenders,Malaysia,100000
Feroz Baharudin,Johor Darul Ta'zim,15,21,Defenders,Malaysia,50000
La'Vere Corbin-Ong,Johor Darul Ta'zim,22,30,Defenders,Malaysia,375000
Matthew Davies,Johor Darul Ta'zim,2,26,Defenders,Malaysia,325000
Syahmi Safari,Johor Darul Ta'zim,91,23,Defenders,Malaysia,150000
Afiq Fazail,Johor Darul Ta'zim,4,27,Midfielders,Malaysia,300000
Hong Wan,Johor Darul Ta'zim,6,21,Midfielders,Malaysia,25000
Adam Farhan,Johor Darul Ta'zim,-,17,Midfielders,Malaysia,14
Aysar Hadi,Johor Darul Ta'zim,41,18,Midfielders,Malaysia,15
Natxo Insa,Johor Darul Ta'zim,-,35,Midfielders,Malaysia,200000
Nazmi Faiz,Johor Darul Ta'zim,21,27,Midfielders,Malaysia,200000
Syamer Kutty,Johor Darul Ta'zim,-,24,Midfielders,Malaysia,150000
Safiq Rahim,Johor Darul Ta'zim,8,34,Midfielders,Malaysia,125000
Takahiro Kunimoto,Johor Darul Ta'zim,88,24,Midfielders,Japan,950000
Juan Muñiz,Johor Darul Ta'zim,20,29,Midfielders,Spain,450000
Leandro Velázquez,Johor Darul Ta'zim,-,32,Midfielders,Argentina,300000
Endrick,Johor Darul Ta'zim,23,26,Midfielders,Malaysia,300000
Óscar Arribas,Johor Darul Ta'zim,24,23,Midfielders,Philippines,500000
