SEASON,TEAM,TEAM_CLEANED,PLAYER,NUMBER,AGE,POSITION,POSITION_TYPE,VALUE_EUR,PLAYER_LINK,NATIONALITY
2016,Johor Darul Ta'zim,Johor Darul Ta'zim FC,Farizal Marlias,1,29,Goalkeeper,Goalkeeper,0.0,https://www.transfermarkt.com/farizal-marlias/profil/spieler/228915,Malaysia
2016,Johor Darul Ta'zim,Johor Darul Ta'zim FC,Izham Tarmizi,24,24,Goalkeeper,Goalkeeper,1.0,https://www.transfermarkt.com/izham-tarmizi/profil/spieler/215370,Malaysia
2016,Johor Darul Ta'zim,Johor Darul Ta'zim FC,Haziq Nadzli,30,17,Goalkeeper,Goalkeeper,2.0,https://www.transfermarkt.com/haziq-nadzli/profil/spieler/480240,Malaysia
2016,Johor Darul Ta'zim,Johor Darul Ta'zim FC,Bruno Soares,2,27,Centre-Back,Defenders,700000.0,https://www.transfermarkt.com/bruno-soares/profil/spieler/104545,Brazil
2016,Johor Darul Ta'zim,Johor Darul Ta'zim FC,Marcos António,6,32,Centre-Back,Defenders,400000.0,https://www.transfermarkt.com/marcos-antonio/profil/spieler/14334,Brazil
2016,Johor Darul Ta'zim,Johor Darul Ta'zim FC,Adam Nor Azlin,-,19,Centre-Back,Defenders,5.0,https://www.transfermarkt.com/adam-nor-azlin/profil/spieler/483683,Malaysia
2016,Johor Darul Ta'zim,Johor Darul Ta'zim FC,Aidil Zafuan,7,28,Centre-Back,Defenders,6.0,https://www.transfermarkt.com/aidil-zafuan/profil/spieler/68490,Malaysia
2016,Johor Darul Ta'zim,Johor Darul Ta'zim FC,Junior Eldstal,25,24,Centre-Back,Defenders,7.0,https://www.transfermarkt.com/junior-eldstal/profil/spieler/315803,Malaysia
2016,Johor Darul Ta'zim,Johor Darul Ta'zim FC,Dominic Tan,26,18,Centre-Back,Defenders,8.0,https://www.transfermarkt.com/dominic-tan/profil/spieler/480242,Malaysia
2016,Johor Darul Ta'zim,Johor Darul Ta'zim FC,Fadhli Shas,27,24,Centre-Back,Defenders,9.0,https://www.transfermarkt.com/fadhli-shas/profil/spieler/215328,Malaysia
2016,Johor Darul Ta'zim,Johor Darul Ta'zim FC,Fazly Mazlan,15,22,Left-Back,Defenders,10.0,https://www.transfermarkt.com/fazly-mazlan/profil/spieler/407683,Malaysia
2016,Johor Darul Ta'zim,Johor Darul Ta'zim FC,S. Kunanlan,12,29,Right-Back,Defenders,11.0,https://www.transfermarkt.com/s-kunanlan/profil/spieler/191002,Malaysia
2016,Johor Darul Ta'zim,Johor Darul Ta'zim FC,Azrif Nasrulhaq,20,24,Right-Back,Defenders,12.0,https://www.transfermarkt.com/azrif-nasrulhaq/profil/spieler/440494,Malaysia
2016,Johor Darul Ta'zim,Johor Darul Ta'zim FC,S. Chanthuru Suppiah,23,28,Right-Back,Defenders,13.0,https://www.transfermarkt.com/s-chanthuru-suppiah/profil/spieler/191003,Malaysia
2016,Johor Darul Ta'zim,Johor Darul Ta'zim FC,Hasbullah Abu Bakar,3,21,Defensive Midfield,Midfielders,14.0,https://www.transfermarkt.com/hasbullah-abu-bakar/profil/spieler/480241,Malaysia
2016,Johor Darul Ta'zim,Johor Darul Ta'zim FC,Afiq Fazail,4,21,Defensive Midfield,Midfielders,15.0,https://www.transfermarkt.com/afiq-fazail/profil/spieler/315723,Malaysia
2016,Johor Darul Ta'zim,Johor Darul Ta'zim FC,Gary Steven,13,23,Defensive Midfield,Midfielders,16.0,https://www.transfermarkt.com/gary-steven/profil/spieler/215399,Malaysia
2016,Johor Darul Ta'zim,Johor Darul Ta'zim FC,Natxo Insa,50,29,Central Midfield,Midfielders,400000.0,https://www.transfermarkt.com/natxo-insa/profil/spieler/57808,Spain
2016,Johor Darul Ta'zim,Johor Darul Ta'zim FC,Nazmi Faiz,21,21,Central Midfield,Midfielders,50000.0,https://www.transfermarkt.com/nazmi-faiz/profil/spieler/210753,Malaysia
2016,Johor Darul Ta'zim,Johor Darul Ta'zim FC,Amirul Hadi Zainal,5,29,Central Midfield,Midfielders,19.0,https://www.transfermarkt.com/amirul-hadi-zainal/profil/spieler/69315,Malaysia
2016,Johor Darul Ta'zim,Johor Darul Ta'zim FC,Safiq Rahim,8,28,Central Midfield,Midfielders,20.0,https://www.transfermarkt.com/safiq-rahim/profil/spieler/69307,Malaysia
2016,Johor Darul Ta'zim,Johor Darul Ta'zim FC,Mohd Shakir,16,29,Central Midfield,Midfielders,21.0,https://www.transfermarkt.com/mohd-shakir/profil/spieler/191000,Malaysia
2016,Johor Darul Ta'zim,Johor Darul Ta'zim FC,Brian Ferreira,10,21,Attacking Midfield,Midfielders,1500000.0,https://www.transfermarkt.com/brian-ferreira/profil/spieler/189426,Argentina
2016,Johor Darul Ta'zim,Johor Darul Ta'zim FC,Gabriel Guerra,10,22,Attacking Midfield,Midfielders,23.0,https://www.transfermarkt.com/gabriel-guerra/profil/spieler/480101,Argentina
2016,Johor Darul Ta'zim,Johor Darul Ta'zim FC,Gonzalo Cabrera,11,26,Left Winger,Midfielders,600000.0,https://www.transfermarkt.com/gonzalo-cabrera/profil/spieler/136867,Argentina
2016,Johor Darul Ta'zim,Johor Darul Ta'zim FC,Azammuddin Akil,-,30,Right Winger,Midfielders,25.0,https://www.transfermarkt.com/azammuddin-akil/profil/spieler/228892,Malaysia
2016,Johor Darul Ta'zim,Johor Darul Ta'zim FC,Safawi Rasid,29,18,Right Winger,Midfielders,26.0,https://www.transfermarkt.com/safawi-rasid/profil/spieler/474220,Malaysia
2016,Johor Darul Ta'zim,Johor Darul Ta'zim FC,Mahali Jasuli,18,26,Second Striker,Forwards,27.0,https://www.transfermarkt.com/mahali-jasuli/profil/spieler/190998,Malaysia
2016,Johor Darul Ta'zim,Johor Darul Ta'zim FC,Jerónimo Barrales,-,28,Centre-Forward,Forwards,1500000.0,https://www.transfermarkt.com/jeronimo-barrales/profil/spieler/55143,Argentina
2016,Johor Darul Ta'zim,Johor Darul Ta'zim FC,Luciano Figueroa,-,34,Centre-Forward,Forwards,500000.0,https://www.transfermarkt.com/luciano-figueroa/profil/spieler/7133,Argentina
2016,Johor Darul Ta'zim,Johor Darul Ta'zim FC,Jorge Pereyra Díaz,-,25,Centre-Forward,Forwards,500000.0,https://www.transfermarkt.com/jorge-pereyra-diaz/profil/spieler/129660,Argentina
2016,Johor Darul Ta'zim,Johor Darul Ta'zim FC,Mohamad Ghaddar,22,31,Centre-Forward,Forwards,31.0,https://www.transfermarkt.com/mohamad-ghaddar/profil/spieler/37028,Lebanon
2016,Johor Darul Ta'zim,Johor Darul Ta'zim FC,Hadi Fayyadh,-,15,Centre-Forward,Forwards,32.0,https://www.transfermarkt.com/hadi-fayyadh/profil/spieler/491486,Malaysia
2016,Johor Darul Ta'zim,Johor Darul Ta'zim FC,Hazwan Bakri,9,24,Centre-Forward,Forwards,33.0,https://www.transfermarkt.com/hazwan-bakri/profil/spieler/213951,Malaysia
2016,Johor Darul Ta'zim,Johor Darul Ta'zim FC,Gopi Rizqi,17,26,Striker,Forwards,34.0,https://www.transfermarkt.com/gopi-rizqi/profil/spieler/264246,Malaysia
2016,Johor Darul Ta'zim,Johor Darul Ta'zim FC,Darren Lok,28,25,Centre-Forward,Forwards,35.0,https://www.transfermarkt.com/darren-lok/profil/spieler/295234,England
2016,Melaka United FC,Melaka United FC,Zamir Selamat,-,26,Goalkeeper,Goalkeeper,36.0,https://www.transfermarkt.com/zamir-selamat/profil/spieler/392742,Malaysia
