SEASON,TEAM,SQUAD_SIZE,NO_OF_FOREIGNERS,MARKET_VALUE_EUR,LINK
2017,Johor Darul Takzim FC,36,9,6630000.0,https://www.transfermarkt.com/johor-darul-tazim/startseite/verein/15817/saison_id/2016
2017,Melaka United FC,52,10,3130000.0,https://www.transfermarkt.com/melaka-united-fc/startseite/verein/52904/saison_id/2016
2017,Kedah FA,33,3,3030000.0,https://www.transfermarkt.com/kedah-darul-aman-fc/startseite/verein/15818/saison_id/2016
2017,Selangor FC,35,8,2980000.0,https://www.transfermarkt.com/selangor-fc/startseite/verein/15831/saison_id/2016
2017,Sri Pahang FC,33,5,2850000.0,https://www.transfermarkt.com/sri-pahang-fc/startseite/verein/15824/saison_id/2016
2017,Selangor FC II,38,7,2830000.0,https://www.transfermarkt.com/selangor-fa-ii/startseite/verein/36117/saison_id/2016
2017,Kelantan FC,45,9,2730000.0,https://www.transfermarkt.com/kelantan-fa/startseite/verein/22114/saison_id/2016
2017,Terengganu FC II,36,6,2580000.0,https://www.transfermarkt.com/terengganu-fc-ii/startseite/verein/35385/saison_id/2016
2017,FELDA United FC,35,8,2250000.0,https://www.transfermarkt.com/felda-united-fc/startseite/verein/36847/saison_id/2016
2017,Penang FC,41,8,2250000.0,https://www.transfermarkt.com/penang-fc/startseite/verein/27577/saison_id/2016
2017,Perak FC,40,6,1850000.0,https://www.transfermarkt.com/perak-fc/startseite/verein/15826/saison_id/2016
2017,Sarawak FA,33,6,1430000.0,https://www.transfermarkt.com/sarawak-fa/startseite/verein/22052/saison_id/2016
2018,Johor Darul Takzim FC,38,13,11780000.0,https://www.transfermarkt.com/johor-darul-tazim/startseite/verein/15817/saison_id/2017
2018,Kedah FA,34,8,3780000.0,https://www.transfermarkt.com/kedah-darul-aman-fc/startseite/verein/15818/saison_id/2017
2018,Kelantan FC,46,11,2880000.0,https://www.transfermarkt.com/kelantan-fa/startseite/verein/22114/saison_id/2017
2018,Melaka United FC,31,7,2780000.0,https://www.transfermarkt.com/melaka-united-fc/startseite/verein/52904/saison_id/2017
2018,Perak FC,33,6,2450000.0,https://www.transfermarkt.com/perak-fc/startseite/verein/15826/saison_id/2017
2018,Sri Pahang FC,28,8,2250000.0,https://www.transfermarkt.com/sri-pahang-fc/startseite/verein/15824/saison_id/2017
2018,Selangor FC II,33,5,2250000.0,https://www.transfermarkt.com/selangor-fa-ii/startseite/verein/36117/saison_id/2017
2018,Selangor FC,32,5,1900000.0,https://www.transfermarkt.com/selangor-fc/startseite/verein/15831/saison_id/2017
2018,Kuala Lumpur City FC,32,5,1780000.0,https://www.transfermarkt.com/kuala-lumpur-city-fc/startseite/verein/36848/saison_id/2017
2018,Negeri Sembilan FC,36,8,1700000.0,https://www.transfermarkt.com/negeri-sembilan-fa/startseite/verein/12363/saison_id/2017
2018,Terengganu FC,34,7,1180000.0,https://www.transfermarkt.com/terengganu-fc/startseite/verein/15838/saison_id/2017
2018,Perak II,40,7,700000.0,https://www.transfermarkt.com/perak-fa-ii/startseite/verein/57293/saison_id/2017
2019,Johor Darul Takzim FC,30,6,7400000.0,https://www.transfermarkt.com/johor-darul-tazim/startseite/verein/15817/saison_id/2018
2019,Melaka United FC,37,8,3400000.0,https://www.transfermarkt.com/melaka-united-fc/startseite/verein/52904/saison_id/2018
2019,Sri Pahang FC,27,6,3180000.0,https://www.transfermarkt.com/sri-pahang-fc/startseite/verein/15824/saison_id/2018
2019,Kedah FA,42,9,3130000.0,https://www.transfermarkt.com/kedah-darul-aman-fc/startseite/verein/15818/saison_id/2018
2019,FELDA United FC,29,9,2630000.0,https://www.transfermarkt.com/felda-united-fc/startseite/verein/36847/saison_id/2018
2019,Perak FC,28,7,2400000.0,https://www.transfermarkt.com/perak-fc/startseite/verein/15826/saison_id/2018
2019,Terengganu FC,35,6,2200000.0,https://www.transfermarkt.com/terengganu-fc/startseite/verein/15838/saison_id/2018
2019,Selangor FC,39,7,2130000.0,https://www.transfermarkt.com/selangor-fc/startseite/verein/15831/saison_id/2018
2019,Petaling Jaya City FC,29,8,2000000.0,https://www.transfermarkt.com/petaling-jaya-city-fc/startseite/verein/58043/saison_id/2018
2019,Kuala Lumpur City FC,34,5,1700000.0,https://www.transfermarkt.com/kuala-lumpur-city-fc/startseite/verein/36848/saison_id/2018
2019,Selangor FC II,31,5,1450000.0,https://www.transfermarkt.com/selangor-fa-ii/startseite/verein/36117/saison_id/2018
2019,Perak II,33,8,1000000.0,https://www.transfermarkt.com/perak-fa-ii/startseite/verein/57293/saison_id/2018
2020,Johor Darul Takzim FC,33,7,6780000.0,https://www.transfermarkt.com/johor-darul-tazim/startseite/verein/15817/saison_id/2019
2020,Kedah FA,36,6,3950000.0,https://www.transfermarkt.com/kedah-darul-aman-fc/startseite/verein/15818/saison_id/2019
2020,Selangor FC,35,6,3930000.0,https://www.transfermarkt.com/selangor-fc/startseite/verein/15831/saison_id/2019
2020,Melaka United FC,34,5,3250000.0,https://www.transfermarkt.com/melaka-united-fc/startseite/verein/52904/saison_id/2019
2020,Perak FC,29,5,3200000.0,https://www.transfermarkt.com/perak-fc/startseite/verein/15826/saison_id/2019
2020,Terengganu FC,33,7,3180000.0,https://www.transfermarkt.com/terengganu-fc/startseite/verein/15838/saison_id/2019
2020,Sri Pahang FC,29,5,2850000.0,https://www.transfermarkt.com/sri-pahang-fc/startseite/verein/15824/saison_id/2019
2020,Petaling Jaya City FC,32,6,2350000.0,https://www.transfermarkt.com/petaling-jaya-city-fc/startseite/verein/58043/saison_id/2019
2020,FELDA United FC,30,5,1680000.0,https://www.transfermarkt.com/felda-united-fc/startseite/verein/36847/saison_id/2019
2020,UiTM United FC,33,9,975000.0,https://www.transfermarkt.com/uitm-fc/startseite/verein/43489/saison_id/2019
2020,PDRM FC,37,6,850000.0,https://www.transfermarkt.com/pdrm-fa/startseite/verein/21294/saison_id/2019
2020,Sabah FC,29,6,450000.0,https://www.transfermarkt.com/sabah-fc/startseite/verein/15630/saison_id/2019
2021,Johor Darul Takzim FC,36,8,6680000.0,https://www.transfermarkt.com/johor-darul-tazim/startseite/verein/15817/saison_id/2020
2021,Perak FC,40,9,3930000.0,https://www.transfermarkt.com/perak-fc/startseite/verein/15826/saison_id/2020
2021,Kuala Lumpur City FC,32,4,3460000.0,https://www.transfermarkt.com/kuala-lumpur-city-fc/startseite/verein/36848/saison_id/2020
2021,Selangor FC,32,8,3450000.0,https://www.transfermarkt.com/selangor-fc/startseite/verein/15831/saison_id/2020
2021,Kedah Darul Aman FC,30,5,3260000.0,https://www.transfermarkt.com/kedah-darul-aman-fc/startseite/verein/15818/saison_id/2020
2021,Sabah FC,41,6,2890000.0,https://www.transfermarkt.com/sabah-fc/startseite/verein/15630/saison_id/2020
2021,Terengganu FC,34,8,2800000.0,https://www.transfermarkt.com/terengganu-fc/startseite/verein/15838/saison_id/2020
2021,Sri Pahang FC,34,8,2710000.0,https://www.transfermarkt.com/sri-pahang-fc/startseite/verein/15824/saison_id/2020
2021,Penang FC,33,5,2400000.0,https://www.transfermarkt.com/penang-fc/startseite/verein/27577/saison_id/2020
2021,UiTM United FC,37,10,2240000.0,https://www.transfermarkt.com/uitm-fc/startseite/verein/43489/saison_id/2020
2021,Melaka United FC,30,7,2190000.0,https://www.transfermarkt.com/melaka-united-fc/startseite/verein/52904/saison_id/2020
2021,Petaling Jaya City FC,29,0,1540000.0,https://www.transfermarkt.com/petaling-jaya-city-fc/startseite/verein/58043/saison_id/2020
2022,Johor Darul Takzim FC,37,10,8580000.0,https://www.transfermarkt.com/johor-darul-tazim/startseite/verein/15817/saison_id/2021
2022,Sri Pahang FC,35,8,4200000.0,https://www.transfermarkt.com/sri-pahang-fc/startseite/verein/15824/saison_id/2021
2022,Selangor FC,34,9,3910000.0,https://www.transfermarkt.com/selangor-fc/startseite/verein/15831/saison_id/2021
2022,Kedah Darul Aman FC,35,7,3870000.0,https://www.transfermarkt.com/kedah-darul-aman-fc/startseite/verein/15818/saison_id/2021
2022,Sabah FC,30,6,3550000.0,https://www.transfermarkt.com/sabah-fc/startseite/verein/15630/saison_id/2021
2022,Kuala Lumpur City FC,33,4,3500000.0,https://www.transfermarkt.com/kuala-lumpur-city-fc/startseite/verein/36848/saison_id/2021
2022,Terengganu FC,33,8,3360000.0,https://www.transfermarkt.com/terengganu-fc/startseite/verein/15838/saison_id/2021
2022,Negeri Sembilan FC,31,7,3160000.0,https://www.transfermarkt.com/negeri-sembilan-fa/startseite/verein/12363/saison_id/2021
2022,Penang FC,35,5,3010000.0,https://www.transfermarkt.com/penang-fc/startseite/verein/27577/saison_id/2021
2022,Melaka United FC,32,5,2370000.0,https://www.transfermarkt.com/melaka-united-fc/startseite/verein/52904/saison_id/2021
2022,Petaling Jaya City FC,28,0,2360000.0,https://www.transfermarkt.com/petaling-jaya-city-fc/startseite/verein/58043/saison_id/2021
2022,Sarawak United FC,33,5,2080000.0,https://www.transfermarkt.com/selangor-united-fc/startseite/verein/58039/saison_id/2021
2023,Johor Darul Takzim FC,37,10,9930000.0,https://www.transfermarkt.com/johor-darul-tazim/startseite/verein/15817/saison_id/2022
2023,Selangor FC,33,10,5930000.0,https://www.transfermarkt.com/selangor-fc/startseite/verein/15831/saison_id/2022
2023,Kedah Darul Aman FC,31,9,5400000.0,https://www.transfermarkt.com/kedah-darul-aman-fc/startseite/verein/15818/saison_id/2022
2023,Sabah FC,34,9,4640000.0,https://www.transfermarkt.com/sabah-fc/startseite/verein/15630/saison_id/2022
2023,Kuala Lumpur City FC,36,8,4610000.0,https://www.transfermarkt.com/kuala-lumpur-city-fc/startseite/verein/36848/saison_id/2022
2023,Terengganu FC,37,10,4560000.0,https://www.transfermarkt.com/terengganu-fc/startseite/verein/15838/saison_id/2022
2023,Sri Pahang FC,31,10,4240000.0,https://www.transfermarkt.com/sri-pahang-fc/startseite/verein/15824/saison_id/2022
2023,Negeri Sembilan FC,36,7,3790000.0,https://www.transfermarkt.com/negeri-sembilan-fa/startseite/verein/12363/saison_id/2022
2023,Kuching City,44,14,3470000.0,https://www.transfermarkt.com/kuching-city/startseite/verein/62736/saison_id/2022
2023,Penang FC,40,10,3430000.0,https://www.transfermarkt.com/penang-fc/startseite/verein/27577/saison_id/2022
2023,Perak FC,51,8,3230000.0,https://www.transfermarkt.com/perak-fc/startseite/verein/15826/saison_id/2022
2023,Kelantan United,35,10,2620000.0,https://www.transfermarkt.com/kelantan-united/startseite/verein/77911/saison_id/2022
2023,Kelantan FC,56,10,2500000.0,https://www.transfermarkt.com/kelantan-fa/startseite/verein/22114/saison_id/2022
2023,PDRM FC,36,9,2410000.0,https://www.transfermarkt.com/pdrm-fa/startseite/verein/21294/saison_id/2022
2024,Johor Darul Takzim FC,34,14,10330000.0,https://www.transfermarkt.com/johor-darul-tazim/startseite/verein/15817/saison_id/2024
2024,Selangor FC,33,10,6950000.0,https://www.transfermarkt.com/selangor-fc/startseite/verein/15831/saison_id/2024
2024,Terengganu FC,31,9,5100000.0,https://www.transfermarkt.com/terengganu-fc/startseite/verein/15838/saison_id/2024
2024,Sabah FC,34,8,3890000.0,https://www.transfermarkt.com/sabah-fc/startseite/verein/15630/saison_id/2024
2024,Sri Pahang FC,26,5,3800000.0,https://www.transfermarkt.com/sri-pahang-fc/startseite/verein/15824/saison_id/2024
2024,Kedah Darul Aman FC,40,5,3750000.0,https://www.transfermarkt.com/kedah-darul-aman-fc/startseite/verein/15818/saison_id/2024
2024,Kuala Lumpur City FC,29,5,3380000.0,https://www.transfermarkt.com/kuala-lumpur-city-fc/startseite/verein/36848/saison_id/2024
2024,Perak FC,28,8,3030000.0,https://www.transfermarkt.com/perak-fc/startseite/verein/15826/saison_id/2024
2024,Kuching City,37,10,2920000.0,https://www.transfermarkt.com/kuching-city/startseite/verein/62736/saison_id/2024
2024,Kelantan Darul Naim,38,10,2610000.0,https://www.transfermarkt.com/kelantan-united/startseite/verein/77911/saison_id/2024
2024,PDRM FC,35,9,2550000.0,https://www.transfermarkt.com/pdrm-fa/startseite/verein/21294/saison_id/2024
2024,Negeri Sembilan FC,30,8,2480000.0,https://www.transfermarkt.com/negeri-sembilan-fa/startseite/verein/12363/saison_id/2024
2024,Penang FC,30,5,2450000.0,https://www.transfermarkt.com/penang-fc/startseite/verein/27577/saison_id/2024
